nconst,intervenant_primaryName,intervenant_primaryProfession,intervenant_birthYear,intervenant_deathYear,tmdb_id,tmdb_popularity,tmdb_profile_url,tmdb_biography_fr
nm0000978,Lloyd Bridges,"actor,director,soundtrack",1913,1998.0,2177.0,1.5939,https://image.tmdb.org/t/p/w500/lO4HWxYvneC0dMFckK2WrKPZa9o.jpg,"Lloyd Vernet Bridges Jr (15 janvier 1913 - 10 mars 1998) était un acteur américain de cinéma, de théâtre et de télévision qui a joué dans plusieurs séries télévisées et a participé à plus de 150 longs métrages. Il était père de quatre enfants, dont deux sont les acteurs Beau Bridges et Jeff Bridges.

Il a commencé sa carrière en tant qu'acteur sous contrat pour Columbia Pictures, apparaissant dans des films tels que Sahara (1943), A Walk In The Sun (1945), Little Big Horn (1951) et High Noon (1952). À la télévision, il a joué dans Sea Hunt de 1958 à 1961. À la fin de sa carrière, il se réinvente et fait preuve d'un talent comique dans des films parodiques comme Airplane ! (1980), Hot Shots ! (1991) et Mafia ! de Jane Austen. (1998).

Entre autres honneurs, Bridges a été deux fois nominé aux Emmy Awards. Il a reçu une étoile sur le Hollywood Walk of Fame le 1er février 1994."
nm0336335,Peter Graves,"actor,director,soundtrack",1926,2010.0,9111.0,1.6003,https://image.tmdb.org/t/p/w500/ySLwIT6L9mWIjFcCagmNENQGq7J.jpg,
nm0821041,Robert Stack,"actor,producer,soundtrack",1919,2003.0,2493.0,1.3373,https://image.tmdb.org/t/p/w500/f1MchlCMVc4LDWEALsodZHPkbIu.jpg,"Charles Stack, dit Robert Stack, est un acteur, sportif et animateur de télévision américain, né le 13 janvier 1919 et mort le 14 mai 2003 en Californie, aux États-Unis.

En plus de ses rôles dans une quarantaine de longs métrages, il est notamment connu pour son rôle dans la série télévisée d'ABC-TV Les incorruptibles (1959 à 1963), pour laquelle il a remporté l'Emmy Award 1960 du meilleur acteur dans une série dramatique, et a animé plus tard Unsolved Mysteries (1987-2002).

Il a également été nommé pour l'Oscar du meilleur second rôle masculin pour sa prestation dans le film Écrit sur du vent (1956).

Robert Stack est né Charles Langford Modini Stack à Los Angeles, en Californie, mais son prénom, choisi par sa mère, est changé en Robert par son père. Il est notamment d'origine italienne par sa grand-mère, Marina Perrini, qui était cantatrice à la Scala de Milan.

Ses parents divorcent quand il a un an. Il est alors élevé par sa mère, Mary Elizabeth Wood, cantatrice. Son père, James Langford Stack, riche propriétaire d'une agence de publicité, ré-épouse plus tard sa mère, mais il meurt quand Robert Stack a dix ans.

Il passe sa prime enfance en France. Il parle alors le français et l'italien et n'apprend l'anglais qu'après son retour à Los Angeles, à l'âge de sept ans. Il a toujours parlé de sa mère avec amour et le plus grand respect. Quand il collabore avec Mark Evans sur son autobiographie, Straight Shooting, il y inclut une photo de lui et de sa mère qu'il avait sous-titrée ""Moi et ma femme préférée"".

Son grand-père était un chanteur d'opéra du nom de Charles Wood, connu sous le nom de Modini qui sera un des prénoms donné à Robert.

Entre quinze et vingt vingt ans, il acquiert une petite renommée en tant que sportif. C'est un joueur de polo et un tireur sportif passionné. Lui et son frère remportent les championnats internationaux de moteur hors-bord, à Venise, en Italie, tandis qu'il devient, à 16 ans, membre de l'All-American Skeet Team (ball-trap). Il obtient deux records mondiaux de tir au pigeon d'argile et devient champion national. En 1971, il est intronisé au National Skeet Shooting Hall of Fame.

Robert Stack a pris des cours de théâtre au Bridgewater State College. Sa voix grave et sa beauté attirent des producteurs d'Hollywood. Lorsque Stack visite les Studios Universal à 20 ans, le producteur Joe Pasternak lui offre ainsi une occasion d'entrer dans l'entreprise. Stack se rappelle: «Il a dit: ""Comment vous aimez être dans les films? Nous allons faire un test avec Helen Parrish, une petite scène d'amour"". Helen Parrish était une belle fille. ""Hééé, ça me botte!"", lui ai-je dit. J'ai pris le rôle».

Le premier vrai film de Stack est First Love (1939), où il fait équipe avec Deanna Durbin; ce film fait l'objet d'une intense agitation médiatique avant même son tournage, étant le premier où l'actrice, incarnation de l'adolescente idéale et mondialement célèbre à l'époque, doit y recevoir son premier baiser à l'écran. L'heureux élu, devenu soudain célèbre, est salué pour son rôle suivant, The Mortal Storm (1940), réalisé par Frank Borzage et mettant en vedette Margaret Sullavan et James Stewart. Stack y joue un jeune homme qui rejoint le parti nazi. ...

Source: Article ""Robert Stack"" de Wikipédia en français, soumis à la licence CC-BY-SA 3.0."
nm0835992,Stephen Stucker,"actor,soundtrack",1947,1986.0,14423.0,0.3831,https://image.tmdb.org/t/p/w500/daleFkJe7LCEMzgtHTfq2SDSx78.jpg,
nm0000148,Harrison Ford,"actor,writer,producer",1942,,3.0,4.713,https://image.tmdb.org/t/p/w500/9H8wNq5jwYKdVZTV91i7nJ4Gg7P.jpg,"Harrison Ford est un acteur américain né le 13 juillet 1942 à Chicago (Illinois).

Sa collaboration avec George Lucas, qui a été le premier à lui donner l'occasion de s'affirmer en tant qu'acteur avec American Graffiti, lui permet d'accéder au rang de vedette internationale avec les rôles de Han Solo dans la trilogie originelle de Star Wars et d'Indiana Jones.

Son statut d'acteur majeur du cinéma de divertissement lui vaut d'être consacré « star du siècle du box-office » en 1994 par l'Association nationale des propriétaires de salles de spectacle. En effet, les films dans lesquels il a tenu un rôle majeur ont engendré près de six milliards de dollars dans le monde.

Depuis plusieurs années, Harrison Ford met sa notoriété au service de la conservation de la nature en sensibilisant l'opinion notamment sur le cas critique de la déforestation des forêts tropicales."
nm0000355,Anthony Daniels,"actor,producer,writer",1946,,6.0,0.8514,https://image.tmdb.org/t/p/w500/7kR4kwXtvXtvrsxWeX3QLX5NS5V.jpg,"Anthony Daniels est un acteur britannique né le 21 février 1946 à Salisbury, en Angleterre. Il est principalement connu pour avoir incarné le droïde de protocole C-3PO dans la saga Star Wars, apparaissant dans tous les films de la série.

Outre Star Wars, il a prêté sa voix à Legolas dans l'adaptation animée du Seigneur des anneaux de Ralph Bakshi en 1978.  Daniels a également participé à diverses séries télévisées britanniques, notamment dans un rôle récurrent dans ""Prime Suspect"" aux côtés d'Helen Mirren."
nm0000568,Frank Oz,"actor,miscellaneous,director",1944,,7908.0,1.3046,https://image.tmdb.org/t/p/w500/mb2JbT8s6LIgaxj6QTph0NW1pmI.jpg,"Frank Oz né Richard Frank Oznowicz; est un réalisateur, acteur, doubleur et marionnettiste américain d'origine britannique connu pour avoir créé et interprété les personnages Miss Piggy et Fozzie Bear dans The Muppet Show et pour avoir réalisé des films, dont le remake de Little Shop Of Horrors de 1986 et Dirty Rotten Scoundrels. . Il est également l'opérateur et la voix de Yoda dans la série Star Wars."
nm0001850,Billy Dee Williams,"actor,writer,soundtrack",1937,,3799.0,1.6913,https://image.tmdb.org/t/p/w500/AwFFWuXJbGCXb0cA5uZvCNtg68H.jpg,
nm0564768,Rick McCallum,"producer,production_manager,actor",1954,,19801.0,0.508,https://image.tmdb.org/t/p/w500/moMu1b9MzEbpJ4dnz4zfKPkgRxE.jpg,
nm0000027,Alec Guinness,"actor,writer,soundtrack",1914,2000.0,12248.0,1.5743,https://image.tmdb.org/t/p/w500/q9QgiNDEO6lbi7uMAOw0OgWn8DG.jpg,"Sir Alec Guinness, né le 2 avril 1914 à Paddington à Londres et mort le 5 août 2000 à Midhurst, dans le Sussex, d'un cancer du foie, est un acteur britannique.

Son interprétation du colonel Nicholson dans le film Le Pont de la rivière Kwaï (1957) est récompensée par un Oscar et un Golden Globe. Il apparaît également dans les films Lawrence d'Arabie (1962) et Le Docteur Jivago (1965), entre autres.

Alec Guinness est né de père inconnu. Tout en travaillant dans le secteur publicitaire, il tente d'entrer à la Royal Academy of Dramatic Art, mais ne peut obtenir une bourse[. Il suit des études d'art dramatique pendant quelques mois au Fay Compton Studio of Dramatic Art[1],[2]. Il rencontre à cette époque John Gielgud, qui tente de l'aider à percer dans le métier d'acteur[, mais il débutera vraiment sa carrière sur scène dans le célèbre théâtre londonien Old Vic, d'abord par de petits rôles.

En 1941, il s'engage dans la Royal Navy.

Alors qu'il n'avait joué qu'un figurant dans Prima Donna (1934), Alec Guinness revient au cinéma en 1946 dans Les Grandes Espérances, de David Lean. Il devient une figure emblématique des Studios Ealing, notamment par ses prestations dans les comédies comme Noblesse oblige (Kind Hearts and Coronets) en 1949 (où il interprète huit rôles différents dont celui d'une femme) ou Tueurs de dames (The Ladykillers), en 1955 (pour lequel il a confié s'être inspiré du jeu d'Alastair Sim pour composer son personnage, et où l'on trouve au nombre de ses partenaires un certain Peter Sellers).

Il est aussi un familier des films de David Lean puisqu'on le retrouve, entre autres, dans Oliver Twist (1948), Lawrence d'Arabie (1962), Docteur Jivago (1965) et surtout Le Pont de la rivière Kwaï (1957) où son interprétation du colonel Nicholson lui apporte un Oscar et un Golden Globe.

Il tient également le rôle d'Hitler en 1973 dans Les Dix Derniers Jours d'Hitler.

Une autre génération de spectateurs le connaît également pour son rôle du maître jedi âgé Obi-Wan Kenobi dans la saga Star Wars, un rôle qu'il appréciait très modérément. Surtout, il regrettait que le jeune public ne le connaisse qu'à travers celui-ci.

Enfin, il est l'incarnation de l'espion retraité George Smiley dans les adaptations télévisées de deux romans de La Trilogie Karla de John Le Carré.

Après soixante ans de carrière, il assure la relève en formant son fils Matthew, vu dans notamment dans La promise ou Lady Jane.

Alec Guinness épouse Merula Salaman en 1938. Le couple a eu un enfant, Matthew.

En 1956, il se convertit au catholicisme, un an avant son épouse. Jusqu'alors, il fréquentait l'Église anglicane (où il avait été baptisé à 16 ans) tout en restant incroyant. Dans son autobiographie (Blessings in Disguise), Guinness explique sa conversion par deux événements. Alors qu'il jouait près de Mâcon le rôle d'un prêtre en soutane (Father Brown), en 1954, un petit garçon l'aborda dans la rue, lui prit la main et l'accompagna, le prenant pour un vrai prêtre. Guinness fut impressionné par la confiance de l'enfant. L'autre facteur est la maladie de son propre fils, atteint de poliomyélite, dont il guérit. Matthew se convertit lui-même à l'âge de 15 ans[6].

Il meurt le 5 août 2000 à Midhurst, dans le Sussex, des suites d'un cancer du foie.

Source : Wikipedia"
nm0000402,Carrie Fisher,"actress,miscellaneous,writer",1956,2016.0,4.0,1.6572,https://image.tmdb.org/t/p/w500/gsaTC69E7j5YEUM8dwJ5aRFeCpz.jpg,"Carrie Fisher, née le 21 octobre 1956 à Beverly Hills et morte le 27 décembre 2016 à Los Angeles, est une actrice, romancière et scénariste américaine. Elle est la fille de l'actrice Debbie Reynolds et du chanteur Eddie Fisher, et la demi-sœur de Joely Fisher et Tricia Leigh Fisher.

En 1977, dès son deuxième film, elle accède à la célébrité avec ses partenaires de Star Wars de George Lucas. Son interprétation de la princesse Leia, personnalité importante de l'Alliance rebelle en lutte contre le terrible Empire galactique, la propulse au rang de star internationale, le grand public l'associant systématiquement à son personnage. Elle reprend ce rôle dans L'Empire contre-attaque (1980), Star Wars, épisode VI : Le Retour du Jedi (1983), et trente-deux ans plus tard dans Star Wars, épisode VII : Le Réveil de la Force (2015) puis dans Star Wars, épisode VIII (2017).

Des problèmes de drogue et d'alcoolisme durant les années 1980 l'obligent à se tenir écartée des plateaux. Elle est tout de même remarquée dans Les Blues Brothers (1980), Hannah et ses sœurs (1986), Quand Harry rencontre Sally (1989), Austin Powers (1997), ou encore dans Scream 3 (2000)."
nm0001190,David Prowse,"actor,miscellaneous,archive_footage",1935,2020.0,24342.0,0.5546,https://image.tmdb.org/t/p/w500/xTocYiKHlRYN8tfh8vyQFsRXC0K.jpg,David Prowse est un body-builder et acteur britannique né le 1er juillet 1935 à Bristol (Angleterre) principalement connu pour avoir interprété le personnage de Dark Vador dans la saga Star Wars entre 1977 et 1983.
nm0048652,Kenny Baker,"actor,miscellaneous,soundtrack",1934,2016.0,130.0,0.6849,https://image.tmdb.org/t/p/w500/kWwso57V7fr0jWnHfknlxxq7XXy.jpg,"Kenneth George Baker dit Kenny Baker, né le 24 août 1934 à Birmingham et mort le 13 août 2016 à Manchester des suites de problèmes pulmonaires, est un acteur britannique. Il est connu pour avoir joué le rôle de R2-D2 dans les six premiers épisodes de la saga Star Wars. Nain caché à l'intérieur, il animait le robot. Il a également eu un rôle de consultant sur Star Wars, épisode VII : Le Réveil de la Force."
nm0449984,Irvin Kershner,"director,cinematographer,actor",1923,2010.0,10930.0,0.5326,https://image.tmdb.org/t/p/w500/imtFUtcASoh2e1Emtt62UuFkIWA.jpg,"Isadore Kershner, dit Irvin Kershner, né le 29 avril 1923 à Philadelphie (Pennsylvanie) et mort le 27 novembre 2010 à Los Angeles (Californie), est un cinéaste américain. Il est surtout connu pour avoir réalisé L'Empire contre-attaque pour George Lucas.

Né le 29 août 1923 à Philadelphie, Irvin Kershner étudie la photographie au Art Center College of Design avant d’enseigner lui-même cette discipline à la University of Southern California School of Cinematic Arts. Il met en scène quelques documentaires en Iran, en Grèce et en Turquie pour le compte du service d'information américain, puis développe une série intitulée Confidential File pour le petit écran. C’est en 1961 qu’il saute le cap de la réalisation avec un premier long métrage, Le Mal de vivre, interprété par Don Murray. Suivront d’autres films : The Luck of Ginger Coffey (1964) avec Robert Shaw, L'Homme à la tête fêlée (1966) avec Sean Connery, Loving (1970) avec George Segal ou encore Up the Sandbox (1972) avec Barbra Streisand. En 1974, il réunira même le tandem de M.A.S.H., Elliott Gould et Donald Sutherland, pour la comédie d’espionnage Les S pions. Mais ses talents de cinéaste sont surtout appréciés dans la deuxième moitié des années 70 avec le western La Revanche d'un homme nommé cheval (1976), interprété par Richard Harris, et l’efficace thriller Les Yeux de Laura Mars (1979).

Professeur et mentor de George Lucas à la Southern University, Irvin Kershner hérite de ce dernier la direction de Star Wars : Episode V - L'Empire contre-attaque (1980), considéré par les fans comme le meilleur épisode de la saga. Après ce gros coup cinématographique, le cinéaste-producteur se voit confier la mise en scène d’un James Bond « non officiel », Jamais plus jamais (1983), de nouveau interprété par Sean Connery, puis du deuxième opus de Robocop en 1989. Entre-temps, il s’adjoint une nouvelle casquette, celle d’acteur, pour La Dernière tentation du Christ (1988) de Martin Scorsese. Une expérience qu’il renouvellera sur le tournage de Terrain miné (1994) de Steven Seagal. En 2007, le Festival Fantastic'Arts de Gérardmer lui rendra hommage en lui proposant de présider le Jury longs métrages."
nm0476030,Gary Kurtz,"producer,assistant_director,production_manager",1940,2018.0,12401.0,0.5117,https://image.tmdb.org/t/p/w500/q6tgPiNqzEOIYmHxMrpWoUirmmu.jpg,
nm0562679,Peter Mayhew,"actor,producer,miscellaneous",1944,2019.0,24343.0,0.3126,https://image.tmdb.org/t/p/w500/rKIBv08O63pyC6PixjyhrjNB8Uh.jpg,"Peter Mayhew, né le 19 mai 1944 à Barnes dans le Grand Londres, est un acteur britanno-américain. Il s'est surtout fait connaître par son rôle de Chewbacca dans la saga Star Wars."
nm0001832,Sam Waterston,"actor,producer,director",1940,,8975.0,1.4303,https://image.tmdb.org/t/p/w500/cSCy9Ng1QJSbEi440342bL71ceF.jpg,"Né le 15 novembre 1940 à Cambridge, Massachusetts, Sam Waterston est un acteur et producteur américain, reconnu pour sa carrière prolifique au théâtre, à la télévision et au cinéma. Il s’est illustré en 1974 dans le rôle de Nick Carraway dans Gatsby le Magnifique, puis a été nommé aux Oscars pour son interprétation du journaliste Sydney Schanberg dans La Déchirure (1984). Collaborateur régulier de Woody Allen (Interiors, Hannah et ses sœurs), il a marqué les esprits en incarnant Abraham Lincoln dans plusieurs productions, dont la mini-série Lincoln (1988). À la télévision, il est mondialement connu pour son rôle du procureur Jack McCoy dans New York, police judiciaire (1994-2010, 2022-2024), qui lui a valu un Screen Actors Guild Award et des nominations aux Emmy et Golden Globe. Waterston a également joué dans The Newsroom (2012-2014) et Grace and Frankie (2015-2022). Récompensé par une étoile sur le Hollywood Walk of Fame en 2010, il reste une figure emblématique du théâtre shakespearien."
nm0559880,David Matthau,"actor,production_department",1953,,,,,
nm0000527,Walter Matthau,"actor,director,producer",1920,2000.0,6837.0,1.8134,https://image.tmdb.org/t/p/w500/pm1YEQPlsNcHQHZJBgcXvu4U4vg.jpg,
nm0000885,Ned Beatty,"actor,soundtrack,archive_footage",1937,2021.0,13726.0,1.2369,https://image.tmdb.org/t/p/w500/rUNNq9CYLkyOwnyGd8QA0LzhmJf.jpg,
nm0007042,Herbert Lom,"actor,miscellaneous,soundtrack",1917,2012.0,14503.0,1.2641,https://image.tmdb.org/t/p/w500/j5H9KKuVTosFLB2hLxNH9uEg5OV.jpg,
nm0048468,George Baker,"actor,writer,production_department",1931,2011.0,10173.0,0.6631,https://image.tmdb.org/t/p/w500/zMubzCZPcpfeTJpc7QjgEwAg5gd.jpg,
nm0201089,Severn Darden,"actor,writer,composer",1929,1995.0,99829.0,0.5101,https://image.tmdb.org/t/p/w500/kWMiUbAuprhewB5I7zbov7bImgT.jpg,
nm0413559,Glenda Jackson,"actress,soundtrack,archive_footage",1936,2023.0,115573.0,0.776,https://image.tmdb.org/t/p/w500/n9A2ks6rdkCKouFXxh9OeEmoR40.jpg,"Glenda May Jackson est une actrice et femme politique britannique née le 9 mai 1936, à Birkenhead. Deux fois lauréate de l'Oscar de la meilleure actrice, elle est faite commandeur de l'ordre de l'Empire britannique en 1978.

Jackson est née à Birkenhead, The Wirral, dans le Cheshire, au sein d'une famille ouvrière. Elle se destine d'abord à un emploi de préparatrice en pharmacie.

Elle a un fils de son ex-mari, Roy Hodges, qu'elle a épousé à 22 ans.

À 16 ans, elle quitte l'école pour rejoindre une troupe de comédiens amateurs. Deux ans plus tard, elle intègre la Royal Academy of Dramatic Art. Après l'obtention de son diplôme d'art dramatique, elle commence à travailler dans le théâtre de répertoire comme actrice et aussi comme régisseur. Elle fait ses débuts sur scène en 1957 dans Tables séparés (Separate Tables) de Terence Rattigan mais est véritablement découverte par Peter Brook qui la met en scène dans son cycle de spectacles liés au théâtre de la cruauté. En 1964, elle triomphe dans le rôle de Charlotte Corday grâce à la pièce de Peter Weiss, Marat/Sade. Elle fait ses premiers pas au cinéma dans Le Prix d'un homme (This Sporting Life) de Lindsay Anderson et retrouve Brook sur deux réalisations: Marat-Sade où elle reprend le rôle de Charlotte Corday et Tell Me Lies.

Devenue une actrice de théâtre très réputée outre-Manche, elle accède à la célébrité internationale grâce à deux rôles dans des films de Ken Russell: celui de Gudrun Brangwen, l'artiste-sculptrice émancipée, se partageant entre Oliver Reed et Alan Bates, dans Love (Women in Love, adapté du roman de D.H Lawrence) qui lui vaut son premier Oscar en 1971, et celui d'Antonina Milyukova, l'épouse nymphomane du compositeur homosexuel Piotr Ilitch Tchaïkovski, joué par Richard Chamberlain dans La Symphonie pathétique (The Music Lovers, 1971). Elle travaille ensuite avec John Schlesinger sur Un dimanche comme les autres (Sunday Bloody Sunday) où elle partage son amant, interprété par Murray Head, avec Peter Finch. Elle est aussi dirigée par Joseph Losey dans Une Anglaise romantique (The Romantic Englishwoman) où, mariée avec Michael Caine, elle s'offre un gigolo interprété par Helmut Berger. Elle collabore par ailleurs avec Robert Altman à deux reprises: dans Health, elle a notamment pour partenaire Lauren Bacall et donne ensuite la réplique, dans Beyond Therapy, à Jeff Goldblum et Julie Hagerty. Glenda Jackson s'est par ailleurs confrontée à Vanessa Redgrave dans Marie Stuart, Reine d'Écosse (Mary, Queen of Scots), sortant victorieuse de l'affrontement, aussi marquante dans le rôle de la reine vierge que Bette Davis en son temps. Elle a aussi fait face à Susannah York dans l'adaptation filmée par Christopher Miles (frère de l'actrice Sarah Miles) de la pièce de Jean Genet Les Bonnes.

Au début des années 1970, Glenda Jackson apparaît dans quelques sketches de l'émission de Morecambe and Wise pour la BBC montrant ainsi son envie de s'illustrer dans le registre comique. Au cinéma, elle confirme son passage à la comédie avec Une maîtresse dans les bras, une femme sur le dos (A Touch of class, 1973) de Melvin Frank; film pour lequel elle remporte un deuxième Oscar. ...

Source: Article ""Glenda Jackson"" de Wikipédia en français, soumis à la licence CC-BY-SA 3.0."
nm0623768,Ronald Neame,"cinematographer,director,producer",1911,2010.0,7501.0,0.446,https://image.tmdb.org/t/p/w500/4BFCDD3GG5woHmxy6o7fny4NDYc.jpg,
nm0731175,Ivor Roberts,"actor,archive_footage",1925,1999.0,1213691.0,0.4498,https://image.tmdb.org/t/p/w500/9ThOqG85jc1I8UrhbmPDLEgknYg.jpg,
nm0765488,Lucy Saroyan,actress,1946,2003.0,127735.0,0.4174,https://image.tmdb.org/t/p/w500/x6vfCE8hriP1LVZuaqZFiUNdcq3.jpg,
